Date,GLEV,CRUTS_PET,REA,ERA5,MERRA2,NCEP_NARR
7/1/1973,,32975.60871,,12707.42429,,
8/1/1973,,28761.03872,,12558.36709,,
9/1/1973,,20762.75788,,8371.726541,,
10/1/1973,,14051.45842,,6346.125897,,
11/1/1973,,6635.402066,,4653.766511,,
12/1/1973,,5024.839947,,2318.020447,,
1/1/1974,,5028.575295,,1341.898589,,
2/1/1974,,7167.037532,,489.5865189,,
3/1/1974,,9919.485366,,952.5070676,,
4/1/1974,,14174.22047,,3644.428367,,
5/1/1974,,23468.62167,,9066.873066,,
6/1/1974,,29444.42257,,12047.169,,
7/1/1974,,30940.78552,,12567.67047,,
8/1/1974,,27923.06569,,11611.02447,,
9/1/1974,,23098.92323,,8531.034402,,
10/1/1974,,14016.48355,,5973.597419,,
11/1/1974,,7478.99227,,3423.897528,,
12/1/1974,,4893.699055,,2509.503487,,
1/1/1975,,5618.596517,,657.2248495,,
2/1/1975,,5606.989109,,440.6177285,,
3/1/1975,,8147.170358,,1293.120821,,
4/1/1975,,11476.59857,,2591.056333,,
5/1/1975,,21494.71247,,5834.205901,,
6/1/1975,,26337.93429,,11605.92582,,
7/1/1975,,30301.48664,,10979.51009,,
8/1/1975,,25706.40583,,11117.00262,,
9/1/1975,,21473.00285,,7921.987029,,
10/1/1975,,12439.342,,6945.308459,,
11/1/1975,,7687.175967,,3652.975524,,
12/1/1975,,5613.492654,,2060.622162,,
1/1/1976,,6325.984082,,1465.710448,,
2/1/1976,,6454.620579,,1642.343257,,
3/1/1976,,10361.41085,,2770.198612,,
4/1/1976,,13369.56248,,5800.738994,,
5/1/1976,,22968.72721,,9538.36075,,
6/1/1976,,25518.28913,,10826.6974,,
7/1/1976,,29274.6424,,11750.27394,,
8/1/1976,,22500.13034,,10597.20835,,
9/1/1976,,18098.00595,,8078.566492,,
10/1/1976,,13734.53088,,5607.311133,,
11/1/1976,,8104.446986,,2740.982721,,
12/1/1976,,7062.87039,,1812.161609,,
1/1/1977,,5106.919934,,1806.558802,,
2/1/1977,,7714.147109,,852.8195058,,
3/1/1977,,8838.817775,,2606.531659,,
4/1/1977,,16155.89023,,3899.771423,,
5/1/1977,,15694.48859,,8126.003955,,
6/1/1977,,25494.16103,,9594.18425,,
7/1/1977,,29768.26243,,11519.38541,,
8/1/1977,,25075.99167,,10346.33711,,
9/1/1977,,18076.69606,,8262.700176,,
10/1/1977,,13429.38714,,5213.358292,,
11/1/1977,,7885.83517,,3205.089559,,
12/1/1977,,5332.504597,,2004.662184,,
1/1/1978,,4275.598296,,1385.377693,,
2/1/1978,,4735.41083,,1233.725326,,
3/1/1978,,9039.692757,,1675.881569,,
4/1/1978,,11287.84987,,5258.779395,,
5/1/1978,,18848.6757,,8696.163276,,
6/1/1978,,23278.7563,,11297.21675,,
7/1/1978,,28029.50677,,10350.40838,,
8/1/1978,,24993.87001,,10491.79462,,
9/1/1978,,15778.10669,,7705.48992,,
10/1/1978,,14061.79806,,5151.322705,,
11/1/1978,,6791.529329,,3243.153265,,
12/1/1978,,4765.904739,,1956.402954,,
1/1/1979,,4879.152988,,279.5545987,,7179.203158
2/1/1979,,5138.538747,,385.1311137,,13436.14116
3/1/1979,,8610.414085,,235.7485972,,15315.80322
4/1/1979,,12727.8143,,1273.246876,,20205.91804
5/1/1979,,19890.60463,,6547.119277,,22353.8939
6/1/1979,,25074.53465,,10540.41062,,22609.93769
7/1/1979,,27161.63715,,10003.58651,,19854.46396
8/1/1979,,22177.07561,,10397.08334,,13120.72571
9/1/1979,,19271.24106,,7259.732213,,8404.996587
10/1/1979,,11687.76347,,5802.313668,,5544.750673
11/1/1979,,6551.224526,,3189.125161,,8791.634888
12/1/1979,,5342.837719,,2193.777821,,5891.430998
1/1/1980,,5217.861001,546.3799232,1497.517532,2358.574927,7273.333228
2/1/1980,,5401.044607,1077.773089,1033.704799,3702.091935,11862.18139
3/1/1980,,7760.187007,1931.54556,2478.228532,5933.749292,15083.90201
4/1/1980,,12793.66469,4383.6204,3306.210998,7217.43298,20451.78418
5/1/1980,,16440.55687,8796.718419,7039.172697,9655.773685,21663.80704
6/1/1980,,22152.84695,11054.13504,9956.995248,12435.57026,20624.32151
7/1/1980,,27389.49406,10521.97551,10353.81494,10868.77713,18097.22414
8/1/1980,,24294.71058,8042.395131,10912.15263,5907.846653,12089.07209
9/1/1980,,18022.92618,5852.620402,7015.536418,3430.153559,9154.754474
10/1/1980,,12960.90201,3589.363688,5332.835756,2061.032269,4983.633419
11/1/1980,,7245.760491,1514.236387,3228.210551,1601.243082,7499.324443
12/1/1980,,5409.234879,901.6300022,1957.106594,1690.834054,4338.828456
1/1/1981,,4767.295267,673.0523504,1414.195345,1606.387813,4856.74054
2/1/1981,,5725.387208,600.7333664,1318.523867,2978.640874,10551.68555
3/1/1981,,7651.756976,1776.528019,2089.402969,5025.570059,15452.01138
4/1/1981,,13940.08504,5453.293791,4389.863726,7910.131712,19605.13177
5/1/1981,,18423.83348,7393.217765,9444.605137,7802.156141,19484.43168
6/1/1981,,25027.5853,8786.764683,10257.27415,7930.541009,20647.25665
7/1/1981,,28274.12168,7564.034259,11381.46723,4863.560057,14313.9833
8/1/1981,,24710.54246,6260.527867,9635.585908,2040.346913,9119.212677
9/1/1981,,17953.4171,4495.143216,7631.360095,1430.879985,6375.683617
10/1/1981,,10154.09803,4389.222338,5270.58423,2443.482119,6153.778573
11/1/1981,,6036.789698,2415.454148,2597.184131,2459.76482,8451.885771
12/1/1981,,4617.139119,1001.619699,1659.924501,2071.692852,6506.474043
1/1/1982,,3861.662475,405.3077636,1940.114649,2095.522423,8943.767726
2/1/1982,,5855.874795,378.1613927,608.3744535,3210.821131,10104.86499
3/1/1982,,7272.414739,1768.521224,2069.171264,5443.778405,17952.53575
4/1/1982,,11767.59267,4790.87323,2937.906702,6776.386368,20910.74927
5/1/1982,,18893.72233,9255.615884,7249.158279,11361.62633,22232.61369
6/1/1982,,20155.84744,10727.57302,9694.059453,9709.193132,25731.11016
7/1/1982,,24853.46951,11432.39737,10021.12969,10427.61204,25570.75989
8/1/1982,,22741.0691,9768.978266,10051.22013,7368.106386,19330.81501
9/1/1982,,14822.61152,6981.675108,7590.606867,4540.570051,12791.01436
10/1/1982,,10133.2762,5642.918999,5168.363017,3795.357801,9554.368305
11/1/1982,,5565.921259,3089.854658,3197.392041,2856.519846,10057.5151
12/1/1982,,4640.411968,1231.922957,2221.933595,2612.737555,5387.277922
1/1/1983,,4295.977966,377.9255281,313.7219508,2434.554145,7766.745493
2/1/1983,,4754.463812,320.9583508,254.5806718,2940.711865,12439.35956
3/1/1983,,6946.429687,1298.943624,1005.516859,5505.419458,17553.03332
4/1/1983,,10599.55157,5033.110104,3003.647585,7190.735789,20216.26995
5/1/1983,,18652.06404,9973.723195,6512.72836,11292.53089,23110.47275
6/1/1983,,23318.64304,12193.72746,10678.16434,14337.78566,30043.22014
7/1/1983,,26612.3312,11585.65387,11848.76841,12423.472,23157.39144
8/1/1983,,23450.22474,11053.92334,10730.38844,8444.102961,20412.65338
9/1/1983,,19227.75066,7898.209206,8733.157796,5624.611496,14749.15903
10/1/1983,,12536.8547,4852.302961,5770.428801,3616.973717,10831.3069
11/1/1983,,6234.950786,3069.589059,4112.767342,3119.071541,11124.55386
12/1/1983,,5045.372215,821.3017826,1908.224753,2124.176662,7177.191276
1/1/1984,,4819.951092,1066.591018,1571.164718,2877.247897,6857.500444
2/1/1984,,7020.436595,1655.679439,1194.450833,4495.72232,11381.03031
3/1/1984,,10524.99714,2429.071513,1856.561249,6858.621796,19190.982
4/1/1984,,13383.24921,5567.213934,5679.242023,9586.205551,22796.622
5/1/1984,,23486.42422,10385.44929,8790.364067,12714.77711,27192.80536
6/1/1984,,25530.73665,10716.57378,11851.66909,10353.88967,27153.62391
7/1/1984,,30822.52504,11506.5689,12053.76087,9690.247789,25314.0044
8/1/1984,,26325.05402,9698.32614,11171.21307,7090.292746,19686.1473
9/1/1984,,21344.52799,6459.274922,8828.445335,4020.284456,10930.48516
10/1/1984,,11150.18769,4979.212615,6464.384372,3084.071412,9107.986683
11/1/1984,,6495.927428,2951.270898,3667.515559,3308.923758,12659.43782
12/1/1984,,4809.170659,1120.400394,2123.815743,2404.305522,9123.962249
1/1/1985,4260.844418,5110.163707,670.5467671,213.8318449,2590.450026,8481.473252
2/1/1985,0,6871.574937,782.6866848,273.9239638,3584.488281,11304.65166
3/1/1985,6973.945786,8941.17907,2442.187116,695.473115,6021.840131,16435.66493
4/1/1985,9198.197672,16614.78307,5040.958923,1014.525804,8889.164555,27720.80668
5/1/1985,16381.53454,22015.12643,7240.634689,7175.601978,8179.059605,24174.1335
6/1/1985,20493.36067,28128.16033,9351.032886,10688.17702,8444.893547,28300.28882
7/1/1985,23218.92887,30315.83945,9154.134154,12178.57885,6109.584399,21108.2635
8/1/1985,25815.2773,26683.50494,7048.999119,10972.8097,2762.807218,13159.51912
9/1/1985,19010.16246,17055.1776,7473.137374,9193.270711,3953.473172,11422.49033
10/1/1985,15216.81328,12708.42967,5598.280777,5930.223847,3445.772149,12944.54726
11/1/1985,9591.288343,6201.714566,1906.652542,3984.235719,2561.258502,11227.55637
12/1/1985,6250.667721,5406.391323,940.1803552,1791.494682,1939.744913,7310.965681
1/1/1986,3312.57817,5560.358266,787.055101,776.3142539,2572.06769,8295.087983
2/1/1986,3790.973027,5153.989151,1283.300203,1474.718275,3957.645191,10324.57333
3/1/1986,5818.201072,9809.842335,1950.647031,2005.476661,5982.849637,18769.52343
4/1/1986,10370.03792,14103.13976,5854.909142,5873.951606,10144.10637,24355.87832
5/1/1986,15959.8884,21404.17864,10517.21966,9100.160497,13812.90813,31378.46706
6/1/1986,21158.4399,27018.74055,11738.28346,12419.79,12376.1271,32793.68788
7/1/1986,25522.08706,29718.74803,10220.61472,12531.55853,8338.605197,24266.54184
8/1/1986,25458.66562,28598.03302,8840.202071,10828.91463,6138.567594,20590.35502
9/1/1986,21178.67366,17498.59492,6314.704301,9802.437518,3055.977489,10920.77641
10/1/1986,15841.09477,12780.62996,3715.142409,4902.755006,2109.491454,5452.947936
11/1/1986,11308.31307,8085.36038,995.5656596,3164.020515,948.5914856,3461.040688
12/1/1986,7155.303942,5558.522602,130.1279356,2218.655843,1237.923942,3353.297512
1/1/1987,5454.304957,4690.454592,530.2063929,1334.566497,2477.122879,10139.43901
