"date","yd1.Store_StaffGage","yp1.in_situ_average","yp2.TerraClimate","yp3.ERA5","yp4.CRUTS_adj","yp5.MERRA2","yp6.CAPA","yp7.NCEP_NARR","ye1.GLEV","ye2.CRUTS_PET","ye3.REA","ye4.ERA5","ye5.MERRA2","ye6.NCEP_NARR","yr1.DWP"
1946-12-01,,10626.0462,,,21598.6547143861,,,,,6549.89724209028,,,,,
1947-01-01,,1657.3347,,,2707.2656240133,,,,,8240.75725851075,,,,,
1947-02-01,,2948.1664,,,6684.32597064525,,,,,9140.47670355255,,,,,
1947-03-01,,2259.06905,,,6007.37066307927,,,,,14442.1176592803,,,,,
1947-04-01,,2168.317975,,,3538.91821659011,,,,,19434.5807938658,,,,,
1947-05-01,,1445.40666666667,,,5052.634182869,,,,,30589.88170392,,,,,
1947-06-01,,2827.49733333333,,,1377.785543682,,,,,32306.6501514467,,,,,
1947-07-01,,905.830933333333,,,287.68147048256,,,,,39911.9288202395,,,,,
1947-08-01,,2054.60971666667,,,625.149214014325,,,,,34245.507471559,,,,,
1947-09-01,,658.279116666667,,,1188.11485036137,,,,,28749.2344502654,,,,,
1947-10-01,,2248.300075,,,7158.23515770845,,,,,16426.5966952982,,,,,
1947-11-01,,1802.7273,,,3257.99754976426,,,,,9022.05708657808,,,,,
1947-12-01,,1908.31666666667,,,6903.34350774376,,,,,7080.3059899264,,,,,
1948-01-01,,2457.2786,,,2051.54195786328,,,,,8941.23968727468,,,,,
1948-02-01,,4533.722325,,,7459.75707491774,,,,,8714.30495357543,,,,,
1948-03-01,,9676.4884,,,11121.0324029698,,,,,12480.4805778735,,,,,
1948-04-01,,9997.32504166667,,,12093.5284331373,,,,,17486.4554143232,,,,,
1948-05-01,,3906.59626666667,,,9180.59563811113,,,,,25329.4325535001,,,,,
1948-06-01,,8312.75783333333,,,3436.54853152534,,,,,32066.8406985812,,,,,
1948-07-01,,6083.10745,,,296.17085031667,,,,,40005.4379588374,,,,,
1948-08-01,,228.444875,,,353.531830932175,,,,,35501.8925148093,,,,,
1948-09-01,,2964.414375,,,488.97172309815,,,,,27651.1097901956,,,,,
1948-10-01,,895.79405,,,4393.07897334188,,,,,17789.157351997,,,,,
1948-11-01,,182.0597,,,1015.54599277001,,,,,10930.7500636114,,,,,
1948-12-01,,10381.4604166667,,,19099.1061810503,,,,,7028.77235204,,,,,
1949-01-01,,4077.86515,,,18743.9463397991,,,,,7215.61205550027,,,,,
1949-02-01,,8034.97666666667,,,7706.0868656557,,,,,8021.8456712968,,,,,
1949-03-01,,10399.9886666667,,,12648.878456184,,,,,11101.6616042963,,,,,
1949-04-01,,2789.5918,,,1098.3354532532,,,,,22024.978051002,,,,,
1949-05-01,,7154.517,,,10105.3818815967,,,,,25714.6784938916,,,,,
1949-06-01,,5712.66529166667,,,523.908470256325,,,,,35078.5025045965,,,,,
1949-07-01,,1104.94564166667,,,471.219226321155,,,,,40271.9380268339,,,,,
1949-08-01,,3780.25,,,1267.2443239125,,,,,33772.217717607,,,,,
1949-09-01,,468.11085,,,360.927685349595,,,,,27822.6926629622,,,,,
1949-10-01,,1553.00653333333,,,542.07152056928,,,,,17849.8994472831,,,,,
1949-11-01,,3976.8872,,,8450.59867489344,,,,,11564.8564749628,,,,,
1949-12-01,,2937.28175,,,6557.19128084362,,,,,7537.42215751749,,,,,
1950-01-01,"27.35975912",7045.5645,,29701.5187713799,16385.7560911679,,,,,6982.02687220061,,1754.53201955794,,,-16.02708688
1950-02-01,"36.5852851",3387.84375,,9765.95136618812,6798.2649761065,,,,,9461.06512787025,,218.03008701275,,,-17.53321433
1950-03-01,"44.095176709999997",29393.3461333333,,9830.2654840449,7814.81460281982,,,,,13048.3483221545,,923.46856464638,,,-20.6560664
1950-04-01,"74.435703959999998",10947.2144666667,,8678.025934525,6845.36686555138,,,,,20808.5881907905,,2490.31694435338,,,-33.82955714
1950-05-01,"176.0069775",3748.111925,,4494.19383895985,3039.06297351466,,,,,28291.8867276488,,9506.96029988663,,,-113.9421214
1950-06-01,"217.99380239999999",3310.0705,,2673.37671207003,1038.200709995,,,,,33764.1407497019,,14641.9905493222,,,-152.9342337
1950-07-01,"91.960789629999994",7214.412,,3608.70101554471,2832.68568805654,,,,,39805.8974716388,,15334.9944442,,,-79.53561133
1950-08-01,"31.793157269999998",765.437325,,666.029430288405,529.250809684388,,,,,36085.577767828,,12518.6697769238,,,-33.8187835
1950-09-01,"33.319924780000001",3294.445,,8454.64675521847,3420.3093011745,,,,,23700.1948810762,,11584.5887954575,,,-24.79533523
1950-10-01,"28.72028122",4284.8295375,,11375.0159890473,10125.11654583,,,,,17340.4556579886,,7145.06846409838,,,-15.009960924
1950-11-01,"98.829472569999993",18958.21075,,20837.8379930619,22569.021923481,,,,,9168.20940671893,,4039.42495090997,,,-115.02357375
