Date,Area,Evol,E_month (mm/month)
9-Aug,182.584,32.698,179.0846953
9-Sep,182.6,27.715,151.7798467
9-Oct,184.007,22.615,122.902933
9-Nov,182.587,14.775,80.92032839
9-Dec,182.587,6.038,33.06916703
10-Jan,184.198,1.664,9.033757153
10-Feb,184.198,1.532,8.317136994
10-Mar,184.111,4.325,23.49126342
10-Apr,183.709,8.764,47.70588267
10-May,182.788,14.717,80.51403812
10-Jun,182.054,23.834,130.9172004
10-Jul,182.025,29.888,164.1972257
10-Aug,182.168,33.536,184.0938035
10-Sep,182.184,28.59,156.9292583
10-Oct,183.499,20.2,110.0823438
10-Nov,182.172,14.344,78.73877435
10-Dec,182.172,5.612,30.80605142
11-Jan,186.6,3.387,18.1511254
11-Feb,186.6,1.102,5.9056806
11-Mar,186.521,2.768,14.84015205
11-Apr,186.152,8.138,43.71696248
11-May,185.308,18.021,97.24890453
11-Jun,184.636,23.368,126.5625339
11-Jul,184.609,29.847,161.6768413
11-Aug,184.74,32.711,177.0650644
11-Sep,184.754,25.967,140.5490544
11-Oct,185.96,21.41,115.1322865
11-Nov,184.743,14.823,80.23578701
11-Dec,184.743,4.744,25.67891612
12-Jan,186.26,2.158,11.58595512
12-Feb,186.26,2.151,11.54837324
12-Mar,186.155,4,21.48747012
12-Apr,185.668,9.87,53.15940281
12-May,184.552,22.205,120.3183926
12-Jun,183.664,28.91,157.4070041
12-Jul,183.628,32.172,175.2020389
12-Aug,183.802,31.362,170.6292641
12-Sep,183.82,27.124,147.5573931
12-Oct,185.414,22.609,121.9379335
12-Nov,183.806,14.646,79.68183846
12-Dec,183.806,7.408,40.30336333
13-Jan,184.072,1.84,9.996088487
13-Feb,184.072,0,0
13-Mar,183.958,3.128,17.00388132
13-Apr,183.428,13.653,74.43247487
13-May,182.215,21.056,115.5557995
13-Jun,181.249,27.393,151.1346269
13-Jul,181.21,31.079,171.5081949
13-Aug,181.399,32.208,177.5533492
13-Sep,181.419,27.428,151.1859287
13-Oct,183.152,21.879,119.458155
13-Nov,181.403,13.386,73.7915029
13-Dec,181.403,6.948,38.30146139
14-Jan,182.046,2.095,11.50808038
14-Feb,182.046,3.412,18.74251563
14-Mar,181.849,5.99,32.93941677
14-Apr,180.936,12.925,71.43409824
14-May,178.846,21.947,122.7145142
14-Jun,177.182,27.873,157.3128196
14-Jul,177.116,28.697,162.0237584
14-Aug,177.44,29.608,166.8620379
14-Sep,177.475,26.054,146.8037752
14-Oct,180.46,22.824,126.4767816
14-Nov,177.448,14.732,83.02150489
14-Dec,177.448,8.357,47.09548713
15-Jan,178.95,4.276,23.89494272
15-Feb,178.95,4.669,26.0910869
15-Mar,178.713,9.953,55.69264687
15-Apr,177.61,16.263,91.56579021
15-May,175.087,18.19,103.8912084
15-Jun,173.078,24.153,139.5497984
15-Jul,172.998,27.592,159.4931733
15-Aug,173.39,31.557,182.0001153
15-Sep,173.432,26.085,150.4047696
15-Oct,177.036,19.538,110.3617343
15-Nov,173.399,13.684,78.91625673
15-Dec,173.399,3.397,19.59065508
16-Jan,176.413,1.687,9.562787323
16-Feb,176.413,1.942,11.00825903
16-Mar,176.174,5.91,33.54638028
16-Apr,175.067,11.361,64.89515443
16-May,172.535,17.753,102.8950648
16-Jun,170.518,26.163,153.4324822
16-Jul,170.438,32.578,191.1428203
16-Aug,170.831,31.883,186.6347443
16-Sep,170.873,27.133,158.7904467
16-Oct,174.491,22.099,126.6483658
16-Nov,170.84,13.252,77.56965582
16-Dec,170.84,7.076,41.41887146
17-Jan,184.015,2.026,11.00997201
17-Feb,184.015,1.567,8.51561014
17-Mar,183.719,2.665,14.50584861
17-Apr,182.343,11.275,61.83401611
17-May,179.195,19.018,106.1301934
17-Jun,176.687,26.336,149.0545428
17-Jul,176.588,31.53,178.5512039
17-Aug,177.076,30.282,171.0113172
17-Sep,177.129,26.852,151.5957297
17-Oct,181.627,22.786,125.4549158
17-Nov,177.088,15.035,84.90129201
17-Dec,177.088,10.052,56.76273943
18-Jan,185.52,4.252,22.91936179
18-Feb,185.52,4.991,26.90275981
18-Mar,185.393,6.351,34.25695684
18-Apr,184.803,10.729,58.05641683
18-May,183.453,18.059,98.43938229
18-Jun,182.378,28.932,158.637555
18-Jul,182.336,30.004,164.5533521
18-Aug,182.545,35.585,194.9382344
18-Sep,182.568,30.981,169.695675
18-Oct,184.496,20.714,112.2734368
18-Nov,182.55,14.565,79.7863599
18-Dec,182.55,8.061,44.157765
